table_name	Category	table_group	manage_table_allowed	db_table_name	PK_column_name	multi_insert_column	table_url	manage_tables	next_step
CY_fcs_run	FCS Run	Cytometry_infrastructure	YES	$TBCY_FCS_RUN	fcs_run_id		ManageTable.cgi?TABLE_NAME=CY_fcs_run	CY_fcs_run	
CY_fcs_run_parameters	FCS Run Parameters	Cytometry_infrastructure	NO	$TBCY_FCS_RUN_PARAMETERS	fcs_run_parameters_id				
CY_query_option	Query Option	Cytometry_infrastructure	YES	$TBCY_QUERY_OPTION	query_option_id		ManageTable.cgi?TABLE_NAME=CY_query_option	CY_query_option	
CY_BrowseFCSRuns	Browse FCS Runs	QUERY	NO				BrowseFCSRun		
CY_AddFCSRuns	Add FCS Runs	QUERY	NO				AddFCSRuns		
CY_measured_parameters	Measured Parameters	Cytometry_infrastructure	YES	$TBCY_MEASURED_PARAMETERS	measured_parameters_id		ManageTable.cgi?TABLE_NAME=CY_measured_parameters	CY_measured_parameters	CY_fcs_run
CY_fcs_run_data_point	FCS DataPoints	Cytometry_infrastructure	NO	$TBCY_FCS_DATA_POINT	fcs_data_point_id				
CY_sort_entity	Sort Entity	Cytometry_infrastructure	YES	$TBCY_SORT_ENTITY	sort_entity_id		ManageTable.cgi?TABLE_NAME=CY_sort_entity	CY_sort_entity	CY_fcs_run
CY_tissue_type	Tissue Type	Cytometry_infrastructure	YES	$TBCY_TISSUE_TYPE	tissue_type_id		ManageTable.cgi?TABLE_NAME=CY_tissue_type	CY_tissue_type	CY_fcs_run
CY_sort_type	Sort Type	Cytometry_infrastructure	YES	$TBCY_SORT_TYPE	sort_type_id		ManageTable.cgi?TABLE_NAME=CY_sort_type	CY_sort_type	CY_fcs_run
CY_cytometry_sample	Cytometry Sample	Cytometry_infrastructure	YES	$TBCY_CYTOMETRY_SAMPLE	cytometry_sample_id		ManageTable.cgi?TABLE_NAME=CY_cytometry_sample	CY_cytometry_sample	
