table_name	column_index	column_name	column_title	datatype	scale	precision	nullable	default_value	is_auto_inc	fk_table	fk_column_name	is_required	input_type	input_length	onChange	is_data_column	is_display_column	is_key_field	column_text	optionlist_query	url
project	1	project_id	Project ID	int	8	0	N		Y						showPassed(this)	N	N				pkDEFAULT
project	2	name	Project Name	varchar	100	0	N		N			Y	text	75		Y	Y	Y	Reasonably short description of project		
project	3	PI_contact_id	PI Contact	int	8	0	N		N	contact	contact_id	Y	current_contact_id			Y	Y	Y	PI or Primary contact for this project		
project	4	description	Description	varchar	0	0	Y		N			Y	text	75		Y	Y	N	Longer description of this project		
project	5	budget	Budget	varchar	25	0	Y		N			Y	text	25		Y	Y	N	Budget number to be charged for experiments under this project		
project	6	project_status	Project Status	varchar	100	0	Y		N			N	text	50		Y	Y	N	"For example: Active, Finished"		
project	7	uri	Project URI	varchar	255	0	Y		N			N	text	50		Y	Y	N	Project homepage or other URI		SELF
project	8	comment	Comment	varchar	255	0	Y		N			N	textarea	4		Y	Y	N	Additional notes		
project	9	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
project	10	created_by_id	Record Created By	int	8	0	N		N	contact	contact_id					N	N				
project	11	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
project	12	modified_by_id	Record Modified By	int	8	0	N		N	contact	contact_id					N	N				
project	13	owner_group_id	Owner Group ID	int	8	0	N	1	N	work_group	work_group_id					N	N				
project	14	record_status	Record Status	char	1	0	N	N	N							N	N				
hardware	1	hardware_id	Hardware ID	int	8	0	N		Y							N	N				pkDEFAULT
hardware	2	contact_id	Contact	int	8	0	N		N	contact	contact_id	Y	optionlist			Y	Y	Y	Vendor/creator contact for this hardware	"SELECT contact_id, first_name+' '+last_name+' ('+organization+')' AS 'name' FROM $TB_CONTACT C JOIN $TB_ORGANIZATION O ON ( C.organization_id = O.organization_id ) ORDER BY organization,last_name,first_name"	
hardware	3	hardware_type_id	Hardware Type	int	8	0	N		N	hardware_type	hardware_type_id	Y	optionlist			Y	Y	Y	Type of hardware	"SELECT hardware_type_id, name FROM $TB_HARDWARE_TYPE ORDER BY name"	
hardware	4	other_type	Other Hardware Type	varchar	50	0	Y		N			N	text	25		Y	Y	Y	Only fill in if Type is Other		
hardware	5	make	Make	varchar	50	0	Y		N			N	text	25		Y	Y	Y	Make or Manufacturer of this hardware		
hardware	6	model	Model	varchar	50	0	Y		N			N	text	25		Y	Y	Y	Model number of this hardware		
hardware	7	serial_number	Serial Number	varchar	50	0	Y		N			N	text	25		Y	Y	Y	serial number		
hardware	8	year	Year	varchar	10	0	Y		N			N	text	10		Y	Y	N	Year of manufacture		
hardware	9	uri	URI	varchar	255	0	Y		N			N	text	75		Y	Y	N	URL for this hardware		SELF
hardware	10	comment	Comment	varchar	255	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
hardware	11	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
hardware	12	created_by_id	Record Created By	int	8	0	N		N	contact	contact_id					N	N				
hardware	13	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
hardware	14	modified_by_id	Record Modified By	int	8	0	N		N	contact	contact_id					N	N				
hardware	15	owner_group_id	Owner Group ID	int	8	0	N	1	N	work_group	work_group_id					N	N				
hardware	16	record_status	Record Status	char	1	0	N	N	N							N	N				
software	1	software_id	Software ID	int	8	0	N		Y							N	N				pkDEFAULT
software	2	contact_id	Contact	int	8	0	N		N	contact	contact_id	Y	optionlist			Y	Y	Y	Vendor/creator contact for this software	"SELECT contact_id, first_name+' '+last_name+' ('+organization+')' AS 'name' FROM $TB_CONTACT C JOIN $TB_ORGANIZATION O ON ( C.organization_id = O.organization_id ) ORDER BY organization,last_name,first_name"	
software	3	software_type_id	Software Type	int	8	0	N		N	software_type	software_type_id	Y	optionlist			Y	Y	Y	Type of software	"SELECT software_type_id, name FROM $TB_SOFTWARE_TYPE ORDER BY name"	
software	4	other_type	Other Software Type	varchar	50	0	Y		N			N	text	25		Y	Y	Y	Only fill in if Type is Other		
software	5	name	Name	varchar	50	0	Y		N			Y	text	50		Y	Y	Y	Name of software		
software	6	version	Version	varchar	50	0	Y		N			N	text	25		Y	Y	Y	Version of software		
software	7	operating_system	Operating System	varchar	50	0	Y		N			Y	text	25		Y	Y	Y	Operating system the software runs on		
software	8	year	Year	varchar	10	0	Y		N			N	text	10		Y	Y	N	Year of release		
software	9	uri	URI	varchar	255	0	Y		N			N	text	75		Y	Y	N	URL for this software		SELF
software	10	comment	Comment	varchar	255	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
