table_name	column_index	column_name	column_title	datatype	scale	precision	nullable	default_value	is_auto_inc	fk_table	fk_column_name	is_required	input_type	input_length	onChange	is_data_column	is_display_column	is_key_field	column_text	optionlist_query	url
CY_fcs_run	1	fcs_run_id	FCS Run ID	int	4	0	N		Y							N	N				pkDEFAULT
CY_fcs_run	2	organism_id	Organism	int	4	0	N		N	organism	organism_id	Y	optionlist			Y	Y	N	Organism from which this sample was acquired	"SELECT organism_id, organism_name FROM $TB_ORGANISM ORDER BY sort_order,organism_name"	
CY_fcs_run	3	project_id	Project	int	4	0	N		N	project	project_id	Y	optionlist			Y	Y	N	Project to which the FCS Run belongs	"SELECT DISTINCT P.project_id,UL.username+' - '+P.name + '['+P.budget+']'FROM $TB_PROJECT P LEFT JOIN $TB_USER_LOGIN UL ON ( P.PI_contact_id=UL.contact_id ) WHERE P.record_status != 'D' AND project_id IN ( $accessible_project_ids ) ORDER BY UL.username+' - '+P.name + '['+P.budget+']',P.project_id"	
CY_fcs_run	4	project_designator	Project Designator	varchar	255	0	N		N			N	text	50		Y	Y	Y	Project designator for this FCS Run (originally from the run header file but changeable)		
CY_fcs_run	5	sample_name	Sample Name	varchar	255	0	N		N			Y	text	50		Y	Y	N	Sample name for this FCS Run (originally from the run header file but changeable)		
CY_fcs_run	6	fcs_run_description	FCS Run Description	text	16	0	Y		N			N	textarea	4		Y	Y	N	Detailed description of the sample and/or how the FCS Run was performed		
CY_fcs_run	7	filename	Filename	varchar	255	0	Y		N			Y	fixed	50		Y	Y	Y	Filename of the original FCS Run file		
CY_fcs_run	8	original_filepath	Original Filepath	varchar	255	0	N		N			Y	fixed	50		Y	Y	N	Original path to the file when it was loaded into the database		
CY_fcs_run	9	n_data_points	Number of Data Points	int	4	0	Y		N			N	fixed	20		Y	Y	N	Number of data points in this FCS Run		
CY_fcs_run	10	run_date	Run Date	datetime	8	0	Y	CURRENT_TIMESTAMP	N			N	text	20		Y	Y	N	Datetime when this FCS Run was performed (originally the system date of the FCS Run file but changeable)		
CY_fcs_run	11	comment	Comment	text	16	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
CY_fcs_run	12	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
CY_fcs_run	13	created_by_id	Record Created By	int	4	0	N	1	N	contact	contact_id					N	N				
CY_fcs_run	14	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
CY_fcs_run	15	modified_by_id	Record Modified By	int	4	0	N	1	N	contact	contact_id					N	N				
CY_fcs_run	16	owner_group_id	Owner Group ID	int	4	0	N	1	N	work_group	work_group_id					N	N				
CY_fcs_run	17	record_status	Record Status	char	1	0	N	N	N							N	N				
CY_fcs_run_parameters	1	fcs_run_parameters_id	FCS Run Parameter ID	int	4	0	N		Y							N	N	N			pkDEFAULT
CY_fcs_run_parameters	2	fcs_run_id	FCS Run ID	int	4	0	N		N	CY_fcs_run	fcs_run_id	Y				N	N	Y	FCS Run to which this search parameter belongs		
CY_fcs_run_parameters	3	measured_parameters_id	Measured Parameters ID	int	4	0	N		N	CY_measured_parameters	measured_parameters_id	Y				N	Y	N	Monotonically increasing number to denote key order		
CY_fcs_run_parameters	4	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N			 				N	N				
CY_fcs_run_parameters	5	created_by_id	Record Created By	int	4	0	N		N	contact	contact_id					N	N				
CY_fcs_run_parameters	6	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
CY_fcs_run_parameters	7	modified_by_id	Record Modified By	int	4	0	N		N	contact	contact_id					N	N				
CY_fcs_run_parameters	8	owner_group_id	Owner Group ID	int	4	0	N		N	work_group	work_group_id					N	N				
CY_fcs_run_parameters	9	record_status	Record Status	char	1	0	N	N	N							N	N				
CY_query_option	1	query_option_id	Query Option ID	int	4	0	N		Y							N	N				pkDEFAULT
