table_name	column_index	column_name	column_title	datatype	scale	precision	nullable	default_value	is_auto_inc	fk_table	fk_column_name	is_required	input_type	input_length	onChange	is_data_column	is_display_column	is_key_field	column_text	optionlist_query	url
IS_abundance_level	1	abundance_level_id	AbundanceLevel ID	int	4	0	N		Y							N	N				pkDEFAULT
IS_abundance_level	2	abundance_level_name	Abundance Level Name	varchar	50	0	N		N			Y	text	20		Y	Y	Y	Name of level of abundance of cell type		
IS_abundance_level	3	abundance_level_description	Abundance Level Description	varchar	256	0	N		N			Y	text	50		Y	Y	N	Longer description of this level		
IS_abundance_level	4	comment	Comment	text	16	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
IS_abundance_level	5	sort_order	Sort Order	int	4	0	N	10	N			N	text	1		Y	Y	N	Integer designed to assist in sort records of this type		
IS_abundance_level	6	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
IS_abundance_level	7	created_by_id	Record Created By	int	4	0	N	1	N	contact	contact_id					N	N				
IS_abundance_level	8	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
IS_abundance_level	9	modified_by_id	Record Modified By	int	4	0	N	1	N	contact	contact_id					N	N				
IS_abundance_level	10	owner_group_id	Owner Group ID	datetime	8	0	N	1	N	work_group	work_group_id					N	N				
IS_abundance_level	11	record_status	Record Status	char	1	0	N	N	N							N	N				
IS_biosequence_set	1	biosequence_set_id	BioSequence Set ID	int	4	0	N		Y							N	N				pkDEFAULT
IS_biosequence_set	2	organism_id	Organism	int	4	0	N		N	organism	organism_id	Y	optionlist			Y	Y	N	Organism (genus+species) for the entries in this BioSequence database	"SELECT organism_id, organism_name FROM $TB_ORGANISM ORDER BY sort_order,organism_name"	
IS_biosequence_set	3	set_name	Set Name	varchar	100	0	N		N			Y	text	50		Y	Y	N	Name of this BioSequence database		
IS_biosequence_set	4	set_tag	Set Tag	varchar	50	0	N		N			Y	text	20		Y	Y	Y	Short tag (name) of this BioSequence database		
IS_biosequence_set	5	set_description	Set Description	varchar	255	0	N		N			Y	text	50		Y	Y	Y	Longer description of this BioSequence database		
IS_biosequence_set	6	set_version	Set Version	varchar	50	0	N		N			Y	text	40		Y	Y	Y	Version of this BioSequence database		
IS_biosequence_set	7	upload_file	Upload file	varchar	255	0	Y		N			N	file	40		Y	Y	N	File path of this BioSequence database if to be uploaded via the web interface		
IS_biosequence_set	8	set_path	Set Path	varchar	255	0	N		N			Y	text	50		Y	Y	N	File path of this BioSequence database		
IS_biosequence_set	9	uri	URI	varchar	255	0	Y		N			N	text	50		Y	Y	N	External web page or other URI		SELF
IS_biosequence_set	10	comment	Comment	text	16	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
IS_biosequence_set	11	sort_order	Sort Order	int	4	0	N	10	N							N	N	N			
IS_biosequence_set	12	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
IS_biosequence_set	13	created_by_id	Record Created By	int	4	0	N	1	N	contact	contact_id					N	N				
