table_name	column_index	column_name	column_title	datatype	scale	precision	nullable	default_value	is_auto_inc	fk_table	fk_column_name	is_required	input_type	input_length	onChange	is_data_column	is_display_column	is_key_field	column_text	optionlist_query	url
slide_type	1	slide_type_id	Slide Type ID	int	8	0	N		Y							N	N				pkDEFAULT
slide_type	2	name	Name	varchar	50	0	N		N			Y	text	50		Y	Y	Y	Short name of this slide type		
slide_type	3	organism_id	Organism	int	8	0	N		N		organism_id	Y	optionlist			Y	Y	N	Organism for this type	"SELECT organism_id, organism_name FROM $TB_ORGANISM ORDER BY sort_order,organism_name"	
slide_type	4	price	Price	float	8	0	Y		N			N	text	25		Y	Y	N	Arrays Lab price for this slide_type		
slide_type	5	comment	Comment	varchar	255	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
slide_type	6	sort_order	Sort Order	int	4	0	N	10	N							N	N	N			
slide_type	7	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
slide_type	8	created_by_id	Record Created By	int	8	0	N		N	contact	contact_id					N	N				
slide_type	9	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
slide_type	10	modified_by_id	Record Modified By	int	8	0	N		N	contact	contact_id					N	N				
slide_type	11	owner_group_id	Owner Group ID	int	8	0	N	1	N	work_group	work_group_id					N	N				
slide_type	12	record_status	Record Status	char	1	0	N	N	N							N	N				
cost_scheme	1	cost_scheme_id	Cost Scheme ID	int	8	0	N		Y							N	N				pkDEFAULT
cost_scheme	2	cost_scheme_name	Scheme Name	varchar	50	0	N		N			Y	text	50		Y	Y	Y	Short name of this cost scheme		
cost_scheme	3	comment	Comment	varchar	255	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
cost_scheme	4	sort_order	Sort Order	int	4	0	N	10	N							N	N	N			
cost_scheme	5	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
cost_scheme	6	created_by_id	Record Created By	int	8	0	N		N	contact	contact_id					N	N				
cost_scheme	7	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
cost_scheme	8	modified_by_id	Record Modified By	int	8	0	N		N	contact	contact_id					N	N				
cost_scheme	9	owner_group_id	Owner Group ID	int	8	0	N	1	N	work_group	work_group_id					N	N				
cost_scheme	10	record_status	Record Status	char	1	0	N	N	N							N	N				
slide_type_cost	1	slide_type_cost_id	Slide Type ID	int	8	0	N		Y							N	N				pkDEFAULT
slide_type_cost	2	slide_type_id	Slide Type	int	8	0	N		N	slide_type	slide_type_id	Y	optionlist			Y	Y	Y	Slide Type for this price	"SELECT slide_type_id, name FROM $TB_SLIDE_TYPE ORDER BY sort_order,name"	
slide_type_cost	3	cost_scheme_id	Cost Scheme	int	8	0	N		N	cost_scheme	cost_scheme_id	Y	optionlist			Y	Y	Y	Cost Scheme for this price	"SELECT cost_scheme_id, cost_scheme_name FROM $TB_COST_SCHEME ORDER BY sort_order,cost_scheme_name"	
slide_type_cost	4	price	Price	float	8	0	Y		N			Y	text	25		Y	Y	N	Arrays Lab price for this slide_type		
slide_type_cost	5	comment	Comment	varchar	255	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
slide_type_cost	6	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
slide_type_cost	7	created_by_id	Record Created By	int	8	0	N		N	contact	contact_id					N	N				
slide_type_cost	8	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
slide_type_cost	9	modified_by_id	Record Modified By	int	8	0	N		N	contact	contact_id					N	N				
slide_type_cost	10	owner_group_id	Owner Group ID	int	8	0	N	1	N	work_group	work_group_id					N	N				
