table_name	Category	table_group	manage_table_allowed	db_table_name	PK_column_name	multi_insert_column	table_url	manage_tables	next_step
MA_slide_type	Slide Type	arrays	YES	$TBMA_SLIDE_TYPE	slide_type_id		ManageTable.cgi?TABLE_NAME=MA_slide_type	"MA_slide_type,MA_labeling_method,MA_cost_scheme,MA_slide_type_cost"	MA_slide_type_cost
MA_cost_scheme	Cost Scheme	arrays	YES	$TBMA_COST_SCHEME	cost_scheme_id		ManageTable.cgi?TABLE_NAME=MA_cost_scheme	"MA_slide_type,MA_labeling_method,MA_cost_scheme,MA_slide_type_cost"	MA_slide_type_cost
MA_slide_type_cost	Slide Type Cost	arrays	YES	$TBMA_SLIDE_TYPE_COST	slide_type_cost_id		ManageTable.cgi?TABLE_NAME=MA_slide_type_cost	"MA_slide_type,MA_labeling_method,MA_cost_scheme,MA_slide_type_cost"	
MA_labeling_method	Labeling Method	arrays	YES	$TBMA_LABELING_METHOD	labeling_method_id		ManageTable.cgi?TABLE_NAME=MA_labeling_method	"MA_slide_type,MA_labeling_method,MA_cost_scheme,MA_slide_type_cost"	
MA_array_request	Array Request	request	NO	$TBMA_ARRAY_REQUEST	array_request_id		SubmitArrayRequest.cgi?TABLE_NAME=MA_array_request	MA_array_request	
MA_array_request_slide	Array Request Slide	request	NO	$TBMA_ARRAY_REQUEST_SLIDE	array_request_slide_id				
MA_array_request_sample	Array Request Sample	request	YES	$TBMA_ARRAY_REQUEST_SAMPLE	array_request_sample_id		ManageTable.cgi?TABLE_NAME=MA_array_request_sample		
MA_sample_protocol	Sample Protocol	request	NO	$TBMA_SAMPLE_PROTOCOL	sample_protocol_id				
MA_slide_model	Slide Model	arrays	YES	$TBMA_SLIDE_MODEL	slide_model_id		ManageTable.cgi?TABLE_NAME=MA_slide_model	"MA_slide,MA_slide_lot,MA_slide_model"	MA_slide_lot
MA_slide_lot	Slide Lot	arrays	YES	$TBMA_SLIDE_LOT	slide_lot_id		ManageTable.cgi?TABLE_NAME=MA_slide_lot	"MA_slide,MA_slide_lot,MA_slide_model"	MA_slide
