table_name	Category	table_group	manage_table_allowed	db_table_name	PK_column_name	multi_insert_column	table_url	manage_tables	next_step
AT_atlas_build	Atlas Build	PeptideAtlas_infrastructure	YES	$TBAT_ATLAS_BUILD	atlas_build_id		ManageTable.cgi?TABLE_NAME=AT_atlas_build	"AT_atlas_build,AT_default_atlas_build,AT_sample"	
AT_default_atlas_build	Default Atlas Build	PeptideAtlas_infrastructure	YES	$TBAT_DEFAULT_ATLAS_BUILD	default_atlas_build_id		ManageTable.cgi?TABLE_NAME=AT_default_atlas_build	"AT_atlas_build,AT_default_atlas_build,AT_sample"	
AT_sample	Sample	PeptideAtlas_user	YES	$TBAT_SAMPLE	sample_id		ManageTable.cgi?TABLE_NAME=AT_sample	"AT_atlas_build,AT_default_atlas_build,AT_sample"	
AT_atlas_build_sample	Atlas Build Sample Link	PeptideAtlas_infrastructure	NO	$TBAT_ATLAS_BUILD_SAMPLE	atlas_build_sample_id				
AT_atlas_build_search_batch	Atlas Build Search Batch Link	PeptideAtlas_infrastructure	NO	$TBAT_ATLAS_BUILD_SEARCH_BATCH	atlas_build_search_batch_id				
AT_atlas_search_batch	Atlas Search Batch	PeptideAtlas_infrastructure	YES	$TBAT_ATLAS_SEARCH_BATCH	atlas_search_batch_id		ManageTable.cgi?TABLE_NAME=AT_atlas_search_batch	AT_atlas_search_batch	
AT_peptide	Peptide	PeptideAtlas_infrastructure	NO	$TBAT_PEPTIDE	peptide_id				
AT_peptide_instance	Peptide Instance	PeptideAtlas_infrastructure	NO	$TBAT_PEPTIDE_INSTANCE	peptide_instance_id				
AT_peptide_instance_sample	Peptide Instance Sample Link	PeptideAtlas_infrastructure	NO	$TBAT_PEPTIDE_INSTANCE_SAMPLE	peptide_instance_sample_id				
AT_peptide_instance_search_batch	Peptide Instance Search Batch Link	PeptideAtlas_infrastructure	NO	$TBAT_PEPTIDE_INSTANCE_SEARCH_BATCH	peptide_instance_search_batch_id				
AT_modified_peptide_instance	Modified Peptide Instance	PeptideAtlas_infrastructure	NO	$TBAT_MODIFIED_PEPTIDE_INSTANCE	modified_peptide_instance_id				
