table_name	column_index	column_name	column_title	datatype	scale	precision	nullable	default_value	is_auto_inc	fk_table	fk_column_name	is_required	input_type	input_length	onChange	is_data_column	is_display_column	is_key_field	column_text	optionlist_query	url
PR_proteomics_experiment	1	experiment_id	Experiment ID	int	4	0	N		Y							N	N				pkDEFAULT
PR_proteomics_experiment	2	experiment_request_id	Experiment Request ID	int	4	0	N		N		experiment_request_id					N	N				
PR_proteomics_experiment	3	contact_id	Contact	int	4	0	N		N	contact	contact_id	Y	current_contact_id	 		Y	Y	N	PI for this experiment		
PR_proteomics_experiment	4	project_id	Project	int	4	0	N		N	project	project_id	Y	optionlist			Y	Y	N	Project to which the experiment belongs	"SELECT project_id, name + ' ['+budget+']' FROM $TB_PROJECT WHERE PI_contact_id='$contact_id' ORDER BY name"	
PR_proteomics_experiment	5	experiment_name	Experiment Title	varchar	100	0	N		N			Y	text	50		Y	Y	N	Title of this experiment		
PR_proteomics_experiment	6	experiment_tag	Experiment Tag	varchar	20	0	N		N			Y	text	20		Y	Y	Y	Short tag (name) of this experiment.  Treat this like a directory/folder name.  Do not use spaces or non-standard characters.		
PR_proteomics_experiment	7	experiment_description	Experiment Description	text	16	0	N		N			Y	textarea	6		Y	Y	N	"Description of this experiment, the sample or samples used, and any other relevant information not contained in the project description or in list-box elements in this form"		
PR_proteomics_experiment	8	experiment_path	Experiment Path	varchar	255	0	N		N			Y	text	50		Y	Y	N	Data path for this experiment (e.g. /data/search/edeutsch/TCells/T_000/human_nci)		
PR_proteomics_experiment	9	organism_id	Organism	int	4	0	N		N			Y	optionlist			Y	Y	N	Organism from which the sample used for this experiment was derived	"SELECT organism_id, organism_name FROM $TB_ORGANISM ORDER BY sort_order,organism_name"	
PR_proteomics_experiment	10	experiment_type_id	Experiment Type	int	4	0	N		N			Y	optionlist			Y	Y	N	"Type/class of experiment (e.g. d0/d8 ICAT, etc.)"	"SELECT experiment_type_id, experiment_type_name FROM $TBPR_EXPERIMENT_TYPE ORDER BY sort_order,experiment_type_name"	
PR_proteomics_experiment	11	instrument_id	Instrument	int	4	0	N		N			Y	optionlist			Y	Y	N	Instrument on which this experiment was performed	"SELECT instrument_id, instrument_name FROM $TBPR_INSTRUMENT ORDER BY sort_order,instrument_name"	
PR_proteomics_experiment	12	gradient_program_id	Gradient Program	int	4	0	Y		N	PR_gradient_program	gradient_program_id	N	optionlist			Y	Y	N	Gradient Program used for this experiment.  Choose MULTIPLE if different programs were used for different msruns within this experiment.	"SELECT gradient_program_id,gradient_program_name FROM $TBPR_GRADIENT_PROGRAM WHERE record_status != 'D'"	
PR_proteomics_experiment	13	column_length	Column Length (cm)	real	4	0	Y		N			N	text	10		Y	Y	N	"Packing length of reverse phase beads column in cm used for this experiment (Do not enter the units in the text box, just the number of cm)"		
PR_proteomics_experiment	14	go_public_date	Go Public Date	datetime	8	0	Y	CURRENT_TIMESTAMP	N			N	text	20		Y	Y	N	Date that this experiment data will go public.  Please use the form 2002-12-31.  Do not enter a date higher than 2030-01-01.		
PR_proteomics_experiment	15	quant_normalization	D0 / D8 Normalization Factor	real	4	0	Y		N			N	text	10		Y	Y	N	"Optional Normalization factor for d0/d8 quantitation ratio.  This will not be known until some data analysis has already been performed.  If ratios that should be calibrated to 1:1 appear as 1.2:1, enter 1.2 here to adjust."		
PR_proteomics_experiment	16	pulldown_protein_name	Pulldown Protein Name	varchar	255	0	Y		N			N	text	50		Y	Y	N	"If this is a pulldown experiment, write in the bait protein here.  This will permit one or more experiments to be properly visualized as a network."		
PR_proteomics_experiment	17	uri	URI	varchar	255	0	Y		N			N	text	50		Y	Y	N	External web page or other URI		SELF
PR_proteomics_experiment	18	comment	Comment	text	16	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
PR_proteomics_experiment	19	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
PR_proteomics_experiment	20	created_by_id	Record Created By	int	4	0	N	1	N	contact	contact_id					N	N				
PR_proteomics_experiment	21	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
PR_proteomics_experiment	22	modified_by_id	Record Modified By	int	4	0	N	1	N	contact	contact_id					N	N				
PR_proteomics_experiment	23	owner_group_id	Owner Group ID	int	4	0	N	1	N	work_group	work_group_id					N	N				
PR_proteomics_experiment	24	record_status	Record Status	char	1	0	N	N	N							N	N				
PR_gradient_program	1	gradient_program_id	Gradient Program ID	int	4	0	N		Y							N	N				pkDEFAULT
PR_gradient_program	2	gradient_program_name	Program Name	varchar	255	0	N		N			Y	text	50		Y	Y	Y	Title of this gradient program		
PR_gradient_program	3	gradient_program_description	Program Description	varchar	255	0	N		N			Y	textarea	3		Y	Y	N	One-line description of this gradient program		
PR_gradient_program	4	gradient_program_table	Program Data	text	16	0	Y		N			N	textarea	12		Y	Y	N	"Please enter the full gradient program here in the form of three- or four-column data.  Column 1 is the time point in minutes from the beginning of the program.  Column 2 and 3 are buffer A and B settings in percent.  Column 4 is the flow rate in mL/min.  Write no units, just the numbers.  Separate with spaces."		
PR_gradient_program	5	comment	Comment	text	16	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
PR_gradient_program	6	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
PR_gradient_program	7	created_by_id	Record Created By	int	4	0	N	1	N	contact	contact_id					N	N				
PR_gradient_program	8	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
PR_gradient_program	9	modified_by_id	Record Modified By	int	4	0	N	1	N	contact	contact_id					N	N				
PR_gradient_program	10	owner_group_id	Owner Group ID	int	4	0	N	1	N	work_group	work_group_id					N	N				
PR_gradient_program	11	record_status	Record Status	char	1	0	N	N	N							N	N				
PR_gradient_delta	1	gradient_delta_id	Gradient Program Delta ID	int	4	0	N		Y							N	N				pkDEFAULT
