source_ontology	subject_term_type	subject_term_name	relationship_type	predicate_term_name	object_term_type	object_term_name	object_term_definition
OntologyOntology	Root	OntologyOntology			Root	OntologyOntology	An ontology of terms used to defined ontologies
OntologyOntology	Root	OntologyOntology	hasClass		Class	TermType	"The type of the term (e.g., Class, Individual, etc.)"
OntologyOntology	Class	TermType	hasInstance		Individual	Root	
OntologyOntology	Class	TermType	hasInstance		Individual	Class	A class represents a concept and is a set with multiple inheritance and properties.
OntologyOntology	Class	TermType	hasInstance		Individual	Individual	An individual is an instance of one or more classes.
OntologyOntology	Class	TermType	hasInstance		Individual	Datatype	
OntologyOntology	Class	TermType	hasInstance		Individual	DatatypeProperty	A property that relates objects to datatype values.
OntologyOntology	Class	TermType	hasInstance		Individual	ObjectProperty	A property that relates objects to other objects.
OntologyOntology	Class	TermType	hasInstance		Individual	TransitiveProperty	A property that is transitive. A TransitiveProperty is a subclass of ObjectProperty.
OntologyOntology	Class	TermType	hasInstance		Individual	UnambiguousProperty	A property that an instance y can only be the value of a Property P for a single instance x.
OntologyOntology	Class	TermType	hasInstance		Individual	UniqueProperty	A property that can only have one (unique) value y for each instance x.
OntologyOntology	Class	TermType	hasInstance		Individual	UNKNOWN	UNKNOWN TERM TYPE
OntologyOntology	Root	OntologyOntology	hasClass		Class	RelationshipType	"The type of relationship between terms (e.g., subClassOf, instanceOf, etc.)"
OntologyOntology	Class	RelationshipType	hasInstance		Individual	hasClass	
OntologyOntology	Class	RelationshipType	hasInstance		Individual	hasInstance	
OntologyOntology	Class	RelationshipType	hasInstance		Individual	hasThing	
OntologyOntology	Class	RelationshipType	hasInstance		Individual	hasDatatype	
OntologyOntology	Class	RelationshipType	hasInstance		Individual	subClassOf	
OntologyOntology	Class	RelationshipType	hasInstance		Individual	oneOf	
OntologyOntology	Class	RelationshipType	hasInstance		Individual	instanceOf	
OntologyOntology	Class	RelationshipType	hasInstance		Individual	intersectionOf	
OntologyOntology	Class	RelationshipType	hasInstance		Individual	unionOf	
OntologyOntology	Class	RelationshipType	hasInstance		Individual	complementOf	
OntologyOntology	Class	RelationshipType	hasInstance		Individual	domain	

SBEAMSOntology	Root	SBEAMSOntology			Root	SBEAMSOntology	The ontology developed for use with SBEAMS
SBEAMSOntology	Root	SBEAMSOntology	hasClass		Class	SBEAMSCore	"Core functionality of SBEAMS including user, project, and permission management and much more.  Individual modules designed for a specific biological datatype are built on top of the core."
SBEAMSOntology	Class	SBEAMSOntology	hasClass		Class	ProteomicsModule	SBEAMS Module designed for LC-MS/MS proteomics data searched with SEQUEST
SBEAMSOntology	Class	SBEAMSOntology	hasClass		Class	ImmunostainModule	"SBEAMS module designed for storage and analysis of immunohistochemistry, in situ hybridization, and other gene expression localization experiments"
SBEAMSOntology	Class	ImmunostainModule	hasClass		Class	Specimen	Whole or part of an individual which is the primary biosource for subsequent processing
SBEAMSOntology	Class	Specimen	hasClass		Class	SurgicalProcedure	Method by which the specimen is obtained
SBEAMSOntology	Class	SurgicalProcedure	hasInstance		Individual	Radical prostatectomy	Complete surgical removal of the prostate and seminal vesicles performed for patients with clinically localized prostate cancer. 
SBEAMSOntology	Class	SurgicalProcedure	hasInstance		Individual	Cystoprostatectomy	"Complete removal of the bladder, prostate, and seminal vesicles. This is most commonly performed for patients with invasive bladder cancer, however, occasionally is performed for patients with advanced prostate cancer. "
SBEAMSOntology	Class	Specimen	hasClass		Class	ClinicalDiagnosis	Provides the rationale for the surgical procedure
SBEAMSOntology	Class	ClinicalDiagnosis	hasInstance		Individual	Adenocarcinoma	Carcinoma arising from glandular epithelial cells such as within the prostate.
SBEAMSOntology	Class	ClinicalDiagnosis	hasInstance		Individual	Transitional cell carcinoma	"Carcinoma arising from transitional epithelium which lines the bladder, ureters, urethra, and the collecting system of the kidneys. "

SBEAMSOntology	Class	ImmunostainModule	hasClass		Class	AssayImage	One imaged location on an Assay
SBEAMSOntology	Class	AssayImage	hasClass		Class	AssayImageType	"Type of image that is provided (e.g., White light, single channel, composite, etc.)"
SBEAMSOntology	Class	AssayImageType	hasInstance		Individual	White light	Unfiltered transmitted or reflected light image of the assay
SBEAMSOntology	Class	AssayImageType	hasInstance		Individual	Single channel	Narrow wavelength filtered light imaging one component of the assay
SBEAMSOntology	Class	AssayImageType	hasInstance		Individual	Composite	Computer-generated composite image combining two or more images of other type


STOP							


