CODE	AVGMASS	MONOMASS
h	1.00794	1.0078250
o	15.9994	15.9949146
c	12.0107	12.0000000
n	14.00674	14.0030740
p	30.973761	30.9737633
s	32.066	31.9720718
G	57.05192	57.0214636
A	71.07880	71.0371136
S	87.07820	87.0320282
P	97.11668	97.0527636
V	99.13256	99.0684136
T	101.10508	101.0476782
C	103.13880	103.0091854
L	113.15944	113.0840636
I	113.15944	113.0840636
X	113.15944	113.0840636
N	114.10384	114.0429272
O	114.14720	114.0793126
B	114.59622	114.5349350
D	115.08860	115.0269428
Q	128.13072	128.0585772
K	128.17408	128.0949626
Z	128.62310	128.5505850
E	129.11548	129.0425928
M	131.19256	131.0404854
H	137.14108	137.0589116
F	147.17656	147.0684136
R	156.18748	156.1011106
Y	163.17596	163.0633282
W	186.21320	186.0793126
