table_name	Category	table_group	manage_table_allowed	db_table_name	PK_column_name	multi_insert_column	table_url	manage_tables	next_step
BM_BMRK_biosource	Biosource	Biomarker	YES	$TBBM_BMRK_BIOSOURCE	biosource_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_biosource	BM_BMRK_biosource	
BM_BMRK_biosample	Biosample	Biomarker	YES	$TBBM_BMRK_BIOSAMPLE	biosample_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_biosample	BM_BMRK_biosample	
BM_BMRK_disease	Disease	Biomarker	YES	$TBBM_BMRK_DISEASE	disease_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_disease	BM_BMRK_disease	
BM_BMRK_disease_type	Disease_type	Biomarker	YES	$TBBM_BMRK_DISEASE_TYPE	disease_type_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_disease_type	BM_BMRK_disease_type	
BM_BMRK_attribute_type	Attribute_type	Biomarker	YES	$TBBM_BMRK_ATTRIBUTE_TYPE	attribute_type_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_attribute_type	BM_BMRK_attribute_type	
BM_BMRK_attribute	Attribute	Biomarker	YES	$TBBM_BMRK_ATTRIBUTE	attribute_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_attribute	BM_BMRK_attribute	
BM_BMRK_biosource_attribute	Biosource_attribute	Biomarker	NO	$TBBM_BMRK_BIOSOURCE_ATTRIBUTE	biosource_attribute_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_biosource_attribute	BM_BMRK_biosource_attribute	
BM_BMRK_biosample_attribute	Biosample_attribute	Biomarker	NO	$TBBM_BMRK_BIOSAMPLE_ATTRIBUTE	biosample_attribute_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_biosample_attribute	BM_BMRK_biosample_attribute	
BM_BMRK_biosource_disease	Biosource_disease	Biomarker	NO	$TBBM_BMRK_BIOSOURCE_DISEASE	biosource_disease_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_biosource_disease	BM_BMRK_biosource_disease	
BM_BMRK_storage_location	Storage_location	Biomarker	YES	$TBBM_BMRK_STORAGE_LOCATION	storage_location_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_storage_location	BM_BMRK_storage_location	
BM_BMRK_experiment	Experiment	Biomarker	YES	$TBBM_BMRK_EXPERIMENT	experiment_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_experiment	BM_BMRK_experiment	
BM_BMRK_treatment_type	Treatment_type	Biomarker	YES	$TBBM_BMRK_TREATMENT_TYPE	treatment_type_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_treatment_type	BM_BMRK_treatment_type	
BM_BMRK_treatment	Treatment	Biomarker	YES	$TBBM_BMRK_TREATMENT	treatment_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_treatment	BM_BMRK_treatment	
BM_BMRK_bio_group	Group	Biomarker	YES	$TBBM_BMRK_BIO_GROUP	bio_group_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_bio_group	BM_BMRK_bio_group	
BM_BMRK_ms_run	Group	Biomarker	YES	$TBBM_BMRK_MS_RUN	ms_run_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_ms_run	BM_BMRK_ms_run	
BM_BMRK_ms_run_sample	Group	Biomarker	YES	$TBBM_BMRK_MS_RUN_SAMPLE	ms_run_sample_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_ms_run_sample	BM_BMRK_ms_run_sample	
BM_BMRK_analysis_file	Analysis_file	Biomarker	YES	$TBBM_BMRK_ANALYSIS_FILE	analysis_file_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_analysis_file	BM_BMRK_analysis_file	
BM_BMRK_data_analysis	Group	Biomarker	YES	$TBBM_BMRK_DATA_ANALYSIS	data_analysis_id		ManageTable.cgi?TABLE_NAME=BM_BMRK_data_analysis	BM_BMRK_data_analysis	
