table_name	column_index	column_name	column_title	datatype	scale	precision	nullable	default_value	is_auto_inc	fk_table	fk_column_name	is_required	input_type	input_length	onChange	is_data_column	is_display_column	is_key_field	column_text	optionlist_query	url
CY_fcs_run	1	fcs_run_id	FCS Run ID	int	4	0	N		Y							N	N				pkDEFAULT
CY_fcs_run	2	organism_id	Organism	int	4	0	N		N	organism	organism_id	Y	optionlist			Y	Y	N	Organism from which this sample was acquired	"SELECT organism_id, organism_name FROM $TB_ORGANISM ORDER BY sort_order,organism_name"	
CY_fcs_run	3	project_id	Project	int	4	0	N		N	project	project_id	Y	optionlist			Y	Y	N	Project to which the FCS Run belongs	"SELECT DISTINCT P.project_id,UL.username+' - '+P.name + '['+P.budget+']'FROM $TB_PROJECT P LEFT JOIN $TB_USER_LOGIN UL ON ( P.PI_contact_id=UL.contact_id ) WHERE P.record_status != 'D' AND project_id IN ( $accessible_project_ids ) ORDER BY UL.username+' - '+P.name + '['+P.budget+']',P.project_id"	
CY_fcs_run	4	project_designator	Project Designator	varchar	255	0	N		N			N	text	50		Y	Y	Y	Project designator for this FCS Run (originally from the run header file but changeable)		
CY_fcs_run	5	sample_name	Sample Name	varchar	255	0	N		N			Y	text	50		Y	Y	Y	"Sample name for this FCS Run. Format: SpecimenNameTissueType_(SortType_SortEntity)n. Example: 04-123p_M_CD138_F_Hoechst. TissueType: p = prostate, b = bladder. SortType: M = MACS, F = FCS.  "		
CY_fcs_run	6	sort_entity_id	Sort Entity	int	4	0	Y		N	CY_sort_entity	sort_entity_id	N	optionlist			Y	Y	N	Entity used to sort sample with	"SELECT sort_entity_id, sort_entity_name from $TBCY_SORT_ENTITY order by sort_entity_name"	
CY_fcs_run	7	tissue_type_id	Tissue Type	int	4	0	Y		N	CY_tissue_type	tissue_type_id	N	optionlist			Y	Y	N	Sorted Tissue Type	"SELECT tissue_type_id, tissue_type_name from $TBCY_TISSUE_TYPE order by tissue_type_name"	
CY_fcs_run	8	sortedCellType	Sorted Cell type 	varchar	255	0	Y		N			N	text	50		Y	Y	N	Sorted Cell Type 		
CY_fcs_run	9	sort_type_id	Sort type	int	4	0	Y		N	CY_sort_type	sort_type_id	N	optionlist			Y	Y	N	"Sort Technique (MACS, FCS)"	"SELECT sort_type_id, sort_type_name from $TBCY_SORT_TYPE order by sort_type_name"	
CY_fcs_run	10	fcs_run_description	FCS Run Description	text	16	0	Y		N			N	textarea	4		Y	Y	N	Detailed description of the sample and/or how the FCS Run was performed		
CY_fcs_run	11	operator	Operator	varchar	255	0	Y	T.Peterson	N			N	text	50		Y	Y	N	Instrument Operator		
CY_fcs_run	12	institution	Institution	varchar	255	0	Y	ISB	N			N	text	50		Y	Y	N	Institution		
CY_fcs_run	13	filename	Filename	varchar	255	0	Y		N			Y	fixed	50		Y	Y	N	Filename of the original FCS Run file		
CY_fcs_run	14	original_filepath	Original Filepath	varchar	255	0	N		N			Y	fixed	50		Y	Y	N	Original path to the file when it was loaded into the database		
CY_fcs_run	15	n_data_points	Number of Data Points	int	4	0	Y		N			N	fixed	20		Y	Y	N	Number of data points in this FCS Run		
CY_fcs_run	16	run_date	Run Date	datetime	8	0	Y	CURRENT_TIMESTAMP	N			N	text	20		Y	Y	N	Datetime when this FCS Run was performed (originally the system date of the FCS Run file but changeable)		
CY_fcs_run	17	comment	Comment	text	16	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
CY_fcs_run	18	showFlag	Show Status	int 	4	0	Y	1	N			N	text	1		Y	Y	N	Set Show Status to '1' if this is an unique and/or important sort otherwise set it to '0' 		
CY_fcs_run	19	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
CY_fcs_run	20	created_by_id	Record Created By	int	4	0	N	1	N	contact	contact_id					N	N				
CY_fcs_run	21	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
