table_name	column_index	column_name	column_title	datatype	scale	precision	nullable	default_value	is_auto_inc	fk_table	fk_column_name	is_required	input_type	input_length	onChange	is_data_column	is_display_column	is_key_field	column_text	optionlist_query	url
source_db	1	source_db_id	Source Database ID	int	8	0	N		Y							N	N				pkDEFAULT
source_db	2	organism_id	Organism	int	8	0	N		N	organism	organism_id	Y	optionlist			Y	Y	N	Organism for this database	"SELECT organism_id, organism_name FROM $TB_ORGANISM ORDER BY sort_order,organism_name"	
source_db	3	source_db_name	Database Source Name	varchar	50	0	N		N			Y	text	50		Y	Y	Y	Short name of this database		
source_db	4	description	Source Description	varchar	255	0	Y		N			N	text	50		Y	Y	N	Description of the data source		
source_db	5	uri	URI	varchar	255	0	Y		N			N	text	50		Y	Y	N	Project homepage or other URI		SELF
source_db	6	comment	Comment	varchar	255	0	Y		N			N	textarea	4		Y	Y	N	Additional comments		
source_db	7	sort_order	Sort Order	int	4	0	N	10	N							N	N	N			
source_db	8	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
source_db	9	created_by_id	Record Created By	int	8	0	N		N	contact	contact_id					N	N				
source_db	10	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N							N	N				
source_db	11	modified_by_id	Record Modified By	int	8	0	N		N	contact	contact_id					N	N				
source_db	12	owner_group_id	Owner Group ID	int	8	0	N	1	N	work_group	work_group_id					N	N				
source_db	13	record_status	Record Status	char	1	0	N	N	N							N	N				
