table_name	Category	table_group	manage_table_allowed	db_table_name	PK_column_name	multi_insert_column	table_url	manage_tables	next_step
GL_biosequence_set	BioSequence Set	GLUE_admin	YES	$TBGL_BIOSEQUENCE_SET	biosequence_set_id		ManageTable.cgi?TABLE_NAME=GL_biosequence_set	GL_biosequence_set	
GL_dbxref	Biosequence Database Cross Reference	GLUE_admin	YES	$TB_DBXREF	dbxref_id		ManageTable.cgi?TABLE_NAME=GL_dbxref	GL_biosequence_dbxref	
GL_biosequence	BioSequence	GLUE_admin	NO	$TBGL_BIOSEQUENCE	biosequence_id				
GL_bioentity	BioEntity	GLUE_user	YES	$TBGL_BIOENTITY	bioentity_id		ManageTable.cgi?TABLE_NAME=GL_bioentity	"GL_bioentity,GL_bioentity_type,GL_regulatory_feature,GL_regulatory_feature_type,GL_interaction,GL_interaction_type,GL_bioentity_state"	
GL_bioentity_type	BioEntity Type	GLUE_user	YES	$TBGL_BIOENTITY_TYPE	bioentity_type_id		ManageTable.cgi?TABLE_NAME=GL_bioentity_type	"GL_bioentity,GL_bioentity_type,GL_regulatory_feature,GL_regulatory_feature_type,GL_interaction,GL_interaction_type,GL_bioentity_state"	
GL_regulatory_feature	Regulatory Feature	GLUE_user	YES	$TBGL_REGULATORY_FEATURE	regulatory_feature_id		ManageTable.cgi?TABLE_NAME=GL_regulatory_feature	"GL_bioentity,GL_bioentity_type,GL_regulatory_feature,GL_regulatory_feature_type,GL_interaction,GL_interaction_type,GL_bioentity_state"	
GL_regulatory_feature_type	Regulatory Feature Type	GLUE_user	YES	$TBGL_REGULATORY_FEATURE_TYPE	regulatory_feature_type_id		ManageTable.cgi?TABLE_NAME=GL_regulatory_feature_type	"GL_bioentity,GL_bioentity_type,GL_regulatory_feature,GL_regulatory_feature_type,GL_interaction,GL_interaction_type,GL_bioentity_state"	
GL_interaction	Interaction	GLUE_user	YES	$TBGL_INTERACTION	interaction_id		ManageTable.cgi?TABLE_NAME=GL_interaction	"GL_bioentity,GL_bioentity_type,GL_regulatory_feature,GL_regulatory_feature_type,GL_interaction,GL_interaction_type,GL_bioentity_state"	
GL_interaction_type	Interaction Type	GLUE_user	YES	$TBGL_INTERACTION_TYPE	interaction_type_id		ManageTable.cgi?TABLE_NAME=GL_interaction_type	"GL_bioentity,GL_bioentity_type,GL_regulatory_feature,GL_regulatory_feature_type,GL_interaction,GL_interaction_type,GL_bioentity_state"	
GL_bioentity_state	BioEntity State	GLUE_user	YES	$TBGL_BIOENTITY_STATE	bioentity_state_id		ManageTable.cgi?TABLE_NAME=GL_bioentity_state	"GL_bioentity,GL_bioentity_type,GL_regulatory_feature,GL_regulatory_feature_type,GL_interaction,GL_interaction_type,GL_bioentity_state"	
