source_ontology	subject_term_type	subject_term_name	relationship_type	predicate_term_name	object_term_type	object_term_name	object_term_definition

mzXMLOntology	Root	mzXMLOntology			Root	mzXMLOntology	An ontology developed for use with mzXML documents
mzXMLOntology	Root	mzXMLOntology	hasClass		Class	msRun	A set of consecutive scans with a mass spectrometer
mzXMLOntology	Class	msRun	hasClass		Class	msInstrument	The mass spectrometer instrument that generated an msRun
mzXMLOntology	Class	msInstrument	hasClass		Class	msManufacturer	The name of the manufacturer of the mass spectrometer
mzXMLOntology	Class	msManufacturer	hasInstance		Individual	ABI / SCIEX	Applied Biosystems/MDS SCIEX Joint Venture
mzXMLOntology	Class	msManufacturer	hasInstance		Individual	Bruker Daltonics	Bruker Daltonics
mzXMLOntology	Class	msManufacturer	hasInstance		Individual	IonSpec	IonSpec corporation
mzXMLOntology	Class	msManufacturer	hasInstance		Individual	Shimadzu	Shimadzu corporation
mzXMLOntology	Class	msManufacturer	hasInstance		Individual	ThermoFinnigan	ThermoFinnigan from Thermo Electron Corporation
mzXMLOntology	Class	msManufacturer	hasInstance		Individual	Waters	Waters Corporation

mzXMLOntology	Class	msInstrument	hasClass		Class	msModel	The name of the model of the mass spectrometer
mzXMLOntology	Class	msModel	hasInstance		Individual	microFlex	Bruker Daltonics microFlex MS
mzXMLOntology	Class	msModel	hasInstance		Individual	ultraFlex TOF/TOF	Bruker Daltonics ultraFlex TOF/TOF MS
mzXMLOntology	Class	msModel	hasInstance		Individual	ultraFlex	Bruker Daltonics ultraFlex MS
mzXMLOntology	Class	msModel	hasInstance		Individual	autoFlex TOF/TOF	Bruker Daltonics autoFlex TOF/TOF MS
mzXMLOntology	Class	msModel	hasInstance		Individual	autoFlex II	Bruker Daltonics autoFlex II MS
mzXMLOntology	Class	msModel	hasInstance		Individual	OmniFlex	Bruker Daltonics OminFlex MS
mzXMLOntology	Class	msModel	hasInstance		Individual	HCTPlus	Bruker Daltonics HCTPlus MS
mzXMLOntology	Class	msModel	hasInstance		Individual	HCT	Bruker Daltonics HCT MS
mzXMLOntology	Class	msModel	hasInstance		Individual	esquire6000	Bruker Daltonics esquire6000 MS
mzXMLOntology	Class	msModel	hasInstance		Individual	esquire4000	Bruker Daltonics esquire4000 MS
mzXMLOntology	Class	msModel	hasInstance		Individual	APEX IV	Bruker Daltonics APEX IV MS
mzXMLOntology	Class	msModel	hasInstance		Individual	APEX-Q	Bruker Daltonics APEX-Q MS
mzXMLOntology	Class	msModel	hasInstance		Individual	BioTOF II	Bruker Daltonics BioTOF II MS
mzXMLOntology	Class	msModel	hasInstance		Individual	BioTOF Q	Bruker Daltonics BioTOF Q MS
mzXMLOntology	Class	msModel	hasInstance		Individual	microTOFLC	Bruker Daltonics microTOFLC MS
mzXMLOntology	Class	msModel	hasInstance		Individual	TEMPUS TOF	ThermoFinnigan TEMPUS TOF MS
mzXMLOntology	Class	msModel	hasInstance		Individual	ELEMENT2	ThermoFinnigan ELEMENT2 MS
mzXMLOntology	Class	msModel	hasInstance		Individual	Neptune	ThermoFinnigan NEPTUNE MS
mzXMLOntology	Class	msModel	hasInstance		Individual	TRACE DSQ	ThermoFinnigan TRACE DSQ MS
mzXMLOntology	Class	msModel	hasInstance		Individual	Surveyor MSQ	ThermoFinnigan Surveyor MSQ MS
mzXMLOntology	Class	msModel	hasInstance		Individual	TSQ QUANTUM	ThermoFinnigan TSQ QUANTUM MS
mzXMLOntology	Class	msModel	hasInstance		Individual	LCQ Classic	ThermoFinnigan LCQ Classic MS
mzXMLOntology	Class	msModel	hasInstance		Individual	LCQ Deca XP Plus	ThermoFinnigan LCQ Deca XP Plus MS
mzXMLOntology	Class	msModel	hasInstance		Individual	LCQ Advantage	ThermoFinnigan LCQ Advantage MS
mzXMLOntology	Class	msModel	hasInstance		Individual	PolarisQ	ThermoFinnigan PolarisQ MS
mzXMLOntology	Class	msModel	hasInstance		Individual	DELTAplusAdvantage	ThermoFinnigan DELTAplusAdvantage MS
mzXMLOntology	Class	msModel	hasInstance		Individual	DELTAplusXP	ThermoFinnigan DELTAplusXP MS
mzXMLOntology	Class	msModel	hasInstance		Individual	MAT253	ThermoFinnigan MAT253 MS
mzXMLOntology	Class	msModel	hasInstance		Individual	MAT900XP	ThermoFinnigan MAT900XP MS
mzXMLOntology	Class	msModel	hasInstance		Individual	MAT900XP Trap	ThermoFinnigan MAT900XP Trap MS
mzXMLOntology	Class	msModel	hasInstance		Individual	MAT95XP	ThermoFinnigan MAT95XP MS
mzXMLOntology	Class	msModel	hasInstance		Individual	MAT95XP Trap	ThermoFinnigan MAT95XP Trap MS
mzXMLOntology	Class	msModel	hasInstance		Individual	TRITON	ThermoFinnigan TRITON MS
mzXMLOntology	Class	msModel	hasInstance		Individual	Q-Tof micro	Waters Q-Tof micro MS
mzXMLOntology	Class	msModel	hasInstance		Individual	Quattro micro	Waters Quattro micro MS
mzXMLOntology	Class	msModel	hasInstance		Individual	Quattro UItima	Waters Quattro Uitima MS
mzXMLOntology	Class	msModel	hasInstance		Individual	GCT	Waters GCT MS
mzXMLOntology	Class	msModel	hasInstance		Individual	AutoSpec Ultima NT	Waters AutoSpec Ultima NT MS
mzXMLOntology	Class	msModel	hasInstance		Individual	M@LDI L	Waters M@LDI L MS
mzXMLOntology	Class	msModel	hasInstance		Individual	M@LDI LR	Waters M@LDI LR MS
mzXMLOntology	Class	msModel	hasInstance		Individual	Q-Tof Ultima	Waters Q-Tof Ultima MS
mzXMLOntology	Class	msModel	hasInstance		Individual	IsoPrime	Waters IsoPrime MS
mzXMLOntology	Class	msModel	hasInstance		Individual	IsoProbe	Waters IsoProbe MS
mzXMLOntology	Class	msModel	hasInstance		Individual	IsoProbe T	Waters IsoProbe T MS
mzXMLOntology	Class	msModel	hasInstance		Individual	Platform ICP	Waters Platform ICP MS
mzXMLOntology	Class	msModel	hasInstance		Individual	NG-5400	Waters NG-5400 MS
mzXMLOntology	Class	msModel	hasInstance		Individual	API 150EX	Applied Biosystems/MDS SCIEX API 150EX MS
mzXMLOntology	Class	msModel	hasInstance		Individual	API 150EX Prep	Applied Biosystems/MDS SCIEX API 150EX Prep MS
mzXMLOntology	Class	msModel	hasInstance		Individual	API 2000	Applied Biosystems/MDS SCIEX API 2000 MS
mzXMLOntology	Class	msModel	hasInstance		Individual	API 3000	Applied Biosystems/MDS SCIEX API 3000 MS
mzXMLOntology	Class	msModel	hasInstance		Individual	API 4000	Applied Biosystems/MDS SCIEX API 4000 MS
mzXMLOntology	Class	msModel	hasInstance		Individual	Proteomics Solution 1	Applied Biosystems/MDS SCIEX Proteomics Solution 1 MS
mzXMLOntology	Class	msModel	hasInstance		Individual	Q TRAP	Applied Biosystems/MDS SCIEX Q TRAP MS
mzXMLOntology	Class	msModel	hasInstance		Individual	4000 Q TRAP	Applied Biosystems/MDS SCIEX Q 4000 TRAP MS
mzXMLOntology	Class	msModel	hasInstance		Individual	QSTAR	Applied Biosystems/MDS SCIEX QSTAR MS
