canonical_name	common_name	start	stop direction
VNG0085G	moaA	73639	74739	For
VNG1706G	rps14p	1266473	1266628	For
VNG0108G	rmeR	90639	93638	For
VNG2575G	rimI	1932464	1933000	For
VNG0003C	VNG0003C	2145	3251	For
VNG0011C	VNG0011C	9980	11410	For
VNG0110C	VNG0110C	93634	94356	For
VNG0128C	VNG0128C	107649	108425	For
VNG0156C	VNG0156C	127692	128387	For
VNG0171C	VNG0171C	145185	145904	For
VNG0189C	VNG0189C	162656	164092	For
VNG0190C	VNG0190C	164151	165110	For
VNG0222C	VNG0222C	188303	189562	For
VNG0230C	VNG0230C	193384	195255	For
VNG0231C	VNG0231C	195274	195981	For
VNG0247C	VNG0247C	201609	202514	For
VNG0255C	VNG0255C	209439	210035	For
VNG0262C	VNG0262C	211896	213008	For
VNG0268C	VNG0268C	216982	218067	For
VNG0270C	VNG0270C	218415	219329	For
VNG0274C	VNG0274C	221005	221607	For
VNG0284C	VNG0284C	227135	228826	For
VNG0286C	VNG0286C	229443	230594	For
VNG0309C	VNG0309C	243437	244231	For
VNG0310C	VNG0310C	244639	245799	For
VNG0316C	VNG0316C	248258	248968	For
VNG0351C	VNG0351C	278123	279409	For
VNG0354C	VNG0354C	279704	280471	For
VNG0359C	VNG0359C	282823	283722	For
VNG0361C	VNG0361C	284272	285270	For
VNG0388C	VNG0388C	300471	300938	For
VNG0396C	VNG0396C	305431	305841	For
VNG0405C	VNG0405C	311957	312943	For
VNG0406C	VNG0406C	313105	314160	For
VNG0419C	VNG0419C	325698	326192	For
VNG0421C	VNG0421C	326468	326944	For
VNG0433C	VNG0433C	334368	334700	For
VNG0437C	VNG0437C	336723	338000	For
VNG0475C	VNG0475C	368167	368808	For
VNG0503C	VNG0503C	389355	390140	For
VNG0514C	VNG0514C	397105	399753	For
VNG0525C	VNG0525C	405851	407272	For
VNG0527C	VNG0527C	407277	408488	For
VNG0534C	VNG0534C	411371	412000	For
VNG0553C	VNG0553C	424253	425929	For
VNG0576C	VNG0576C	444303	444680	For
VNG0599C	VNG0599C	458746	459024	For
VNG0631C	VNG0631C	481425	483236	For
VNG0642C	VNG0642C	489893	490123	For
VNG0650C	VNG0650C	495620	497050	For
VNG0674C	VNG0674C	511953	512924	For
VNG0675C	VNG0675C	512985	513914	For
VNG0682C	VNG0682C	518991	519812	For
VNG0683C	VNG0683C	519914	520702	For
VNG0686C	VNG0686C	521594	522280	For
VNG0690C	VNG0690C	524375	526111	For
VNG0707C	VNG0707C	534180	534776	For
VNG0709C	VNG0709C	535522	536505	For
VNG0711C	VNG0711C	536584	537162	For
VNG0727C	VNG0727C	547992	549473	For
VNG0750C	VNG0750C	568228	568944	For
VNG0751C	VNG0751C	569022	569333	For
VNG0755C	VNG0755C	572416	573039	For
VNG0758C	VNG0758C	573769	574437	For
VNG0764C	VNG0764C	576838	577911	For
VNG0779C	VNG0779C	585235	587046	For
VNG0799C	VNG0799C	601488	602186	For
VNG0804C	VNG0804C	603453	604343	For
VNG0818C	VNG0818C	616933	618648	For
VNG0826C	VNG0826C	626458	627129	For
VNG0834C	VNG0834C	632698	633585	For
VNG0846C	VNG0846C	640617	642089	For
VNG0852C	VNG0852C	645426	646073	For
VNG0854C	VNG0854C	646591	647622	For
VNG0857C	VNG0857C	648025	648291	For
VNG0865C	VNG0865C	654315	654932	For
VNG0875C	VNG0875C	661579	661926	For
VNG0941C	VNG0941C	718768	719829	For
VNG0943C	VNG0943C	720331	720675	For
VNG0964C	VNG0964C	735009	735878	For
VNG0981C	VNG0981C	745648	746760	For
VNG0982C	VNG0982C	746843	747130	For
VNG1011C	VNG1011C	774910	775500	For
VNG1021C	VNG1021C	782934	783692	For
VNG1023C	VNG1023C	783700	784713	For
VNG1038C	VNG1038C	793607	794326	For
VNG1056C	VNG1056C	802721	803698	For
VNG1065C	VNG1065C	812621	813379	For
VNG1066C	VNG1066C	813372	814277	For
VNG1069C	VNG1069C	818634	819521	For
VNG1087C	VNG1087C	832010	833950	For
VNG1099C	VNG1099C	842300	843133	For
VNG1100C	VNG1100C	843129	843677	For
VNG1149C	VNG1149C	869302	870498	For
VNG1213C	VNG1213C	913341	914318	For
VNG1235C	VNG1235C	929643	930377	For
VNG1236C	VNG1236C	930370	931758	For
VNG1237C	VNG1237C	931821	932300	For
VNG1238C	VNG1238C	932654	932872	For
VNG1296C	VNG1296C	967899	968507	For
VNG1297C	VNG1297C	968577	969800	For
VNG1299C	VNG1299C	969880	971055	For
VNG1323C	VNG1323C	987502	989946	For
VNG1337C	VNG1337C	996308	997663	For
VNG1347C	VNG1347C	1004568	1005326	For
VNG1372C	VNG1372C	1021561	1022988	For
VNG1375C	VNG1375C	1025206	1026537	For
