canonical_name           common_name         start      stop direction
png1001        pNG1001               817       170       rev
png1002        pNG1002              1456       827       rev
png1003        pNG1003              2172      1963       rev
png1004        pNG1004              4057      3782       rev
png1005        pNG1005              4849      4124       rev
png1006        pNG1006              5143      5685       for
png1007        pNG1007              6009      6347       for
png1008        pNG1008              7386      7036       rev
png1009        pNG1009              8523      7663       rev
png1011        pNG1011              9116      9484       for
png1012        pNG1012             10248     10982       for
png1013        pNG1013             11311     11069       rev
png1014        pNG1014             11520     11314       rev
png1015        pNG1015             12016     11678       rev
png1016        pNG1016             11849     12421       for
png1017        pNG1017             14019     12475       rev
png1018        pNG1018             14550     14933       for
png1019        pNG1019             15086     15235       for
png1020        tnp                 17194     16172       rev
png1021        pNG1021             17537     18463       for
png1022        pNG1022             18488     18790       for
png1023        pNG1023             19170     18958       rev
png1024        cdc6q               19669     20874       for
png1025        pNG1025             21035     21778       for
png1026        flaA2               22035     23423       for
png1027        pNG1027             24896     23769       rev
png1028        pNG1028             25881     25744       rev
png1029        pNG1029             26083     25874       rev
png1030        pNG1030             25748     25473       rev
png1032        pNG1032             26586     26083       rev
png1033        pNG1033             27087     26590       rev
png1034        pNG1034             27205     27080       rev
png1035        pNG1035             27519     27205       rev
png1036        pNG1036             28205     28474       for
png1037        pNG1037             28677     28438       rev
png1038        pNG1038             29167     29427       for
png1039        pNG1039             29482     27749       rev
png1040        pNG1040             30098     32683       for
png1041        pNG1041             33122     33283       for
png2001        pNG2001               359       742       for
png2002        pNG2002              1107      1520       for
png2003        boa                  1714      2307       for
png2004        pNG2004              2759      2424       rev
png2005        pNG2005              3079      2759       rev
png2006        padR                 3500      3219       rev
png2007        pNG2007              3598      4713       for
png2008        pNG2008              4717      5448       for
png2009        pNG2009              5702      5457       rev
png2010        pNG2010              6305      5862       rev
png2011        pNG2011              6833      6309       rev
png2013        pNG2013              7646      7257       rev
png2014        sojC                 8410      7646       rev
png2015        pNG2015              8476      9087       for
png2016        parB                10045      9467       rev
png2017        pNG2017             10479     10270       rev
png2018        rpL36               11718     10777       rev
png2019        pNG2019             13003     11888       rev
png2020        pNG2020             13684     13085       rev
png2021        pNG2021             13858     14574       for
png2022        repH1               17527     14678       rev
png2023        pNG2023             18160     17840       rev
png2024        pNG2024             18386     18135       rev
png2025        pNG2025             19003     18386       rev
png2026        pNG2026             19211     18996       rev
png2027        pNG2027             19525     19211       rev
png2028        pNG2028             20113     19754       rev
png2029        pNG2029             20168     20554       for
png2030        pNG2030             20714     21040       for
png2031        pNG2031             20302     20177       rev
png2032        pNG2032             21810     22364       for
png2033        pNG2033             23081     22599       rev
png2034        yprA1               23337     25772       for
png2035        pNG2035             26193     25807       rev
png2036        papSR               26362     27339       for
png2037        pNG2037             28121     28020       rev
png2038        pNG2038             29099     28128       rev
png2039        pNG2039             30272     29571       rev
png2040        pNG2040             30683     30543       rev
png2041        pNG2041             30767     30910       for
png2042        pNG2042             31277     30966       rev
png2043        pNG2043             31422     31688       for
png2044        pNG2044             33280     31736       rev
png3001        pNG3001               634       335       rev
png3002        pNG3002              1260      1042       rev
png3003        pNG3003              3082      2552       rev
png3004        pNG3004               152      4132       for
png3005        pNG3005              4437      4739       for
png3006        pNG3006              4543      3749       rev
png3007        pNG3007              4742      5062       for
png3008        pNG3008              5275      5805       for
png3009        pNG3009              5942      5808       rev
png3010        pNG3010              5972      6139       for
png3011        pNG3011              7503      7363       rev
png3012        pNG3012              7870      8988       for
png3013        cdc6p                9079     10131       for
png3014        pNG3014             10299     10466       for
png3015        pNG3015             10937     10473       rev
png3016        pNG3016             11848     11417       rev
png3017        pNG3017             11102     12844       for
png3018        pNG3018             12849     12980       for
png3019        pNG3019             12980     13495       for
png3021        pNG3021             13770     14123       for
png3022        pNG3022             14124     13591       rev
png3023        pNG3023             14123     14680       for
png3024        pNG3024             14676     14906       for
